,date,country,local,industry_sector,accident_level,potential_accident_level,gender,employee_type,critical_risk,description,year,month,day,weekday,week_of_year,quarter,description_processed
217,2016-09-20,Country_03,10,Others,1,I,Male,Third Party,Fall,"Collaborator around 9:00 AM, cleaning the leaves of the return well of the 5021 borehole BRAPDD 0183 slipped on the canvas that was on the edge of the well, hitting the right side of the back against the metal structure of the mud-swathed box causing a slight excoriation. The employee was referred to the local hospital, medicated and released for the activities.",2016,9,20,Tuesday,38,3,collaborator around cleaning leaf return well borehole brapdd slipped canvas edge well hitting right side back metal structure mudswathed box slight excoriation referred local hospital medicated released
218,2016-09-20,Country_02,5,Metals,1,II,Male,Third Party (Remote),Blocking and isolation of energies,"The employee was performing maintenance of the blower, when the residual water projection occurred on his face. In an attempt to remove PPE, the injured person has had contact with contaminated gloves with the right eye causing irritation.",2016,9,20,Tuesday,38,3,maintenance blower residual water projection occurred face attempt remove ppe injured person contact contaminated glove right eye irritation
219,2016-09-20,Country_01,6,Metals,1,II,Male,Third Party,Others,"The lubricating technician Alfredo made the oil filling to the reducer D-100, in which, he notices an oil leak (tearing) between the connection of the hose and the reducer, correcting the leak. Once the work is finished, he goes to the lubricants workshop where he removes the gloves and observes that both hands are affected by contact with the hot surface and goes to the medical center where he was treated.",2016,9,20,Tuesday,38,3,lubricating technician alfredo oil filling reducer notice oil leak tearing connection hose reducer correcting leak finished go lubricant workshop remove glove observes hand affected contact hot surface go treated
220,2016-09-21,Country_01,3,Mining,1,III,Male,Third Party,Others,"During the maintenance of the access, at the moment the assistant places the mini split set in the adapter, the clamp - which was locked - returns to its initial position hitting the collaborator's hand causing the described injury. At the time of the accident the team was in a sustained area, the arm of the jumbo was at a height of 0.80m from the floor and the employee was wearing rubber gloves.",2016,9,21,Wednesday,38,3,maintenance access assistant place mini split set adapter clamp locked return initial position hitting collaborator hand injury accident team sustained arm jumbo height floor wearing rubber glove
221,2016-09-21,Country_02,5,Metals,2,III,Male,Third Party,Manual Tools,"Employee was preparing rice using a utensil type skimmer to stir inside the pressure cooker when part of the cable broke, reaching its hand causing a blunt cut.",2016,9,21,Wednesday,38,3,preparing rice using utensil type skimmer stir inside pressure cooker part cable broke reaching hand blunt cut
222,2016-09-22,Country_01,1,Mining,1,IV,Male,Employee,Others,In circumstances in which the operator of bolter N ° 8 went down the ladder to the height of the resting platform - at 0.80 m. floor level - slips off balance by hitting your back against the handrail of the operator's door. At the time of the event the injured person used all his EPP's.,2016,9,22,Thursday,38,3,operator bolter n went ladder height resting platform floor level slip balance hitting back handrail operator door injured person used epps
223,2016-09-22,Country_01,6,Metals,1,III,Male,Employee,Others,"The technician Operator when heading towards the zone of lifting containers of dust of zinc in the Section 50, uses a space between base of tranquera and sardinel, slipping in the edge and raspándose left side of thorax. He was treated at the medical center with local treatment, returning to his work area.",2016,9,22,Thursday,38,3,technician operator heading towards zone lifting container dust zinc section us space base tranquera sardinel slipping edge raspndose left side thorax treated local treatment returning
224,2016-09-27,Country_01,6,Metals,1,II,Female,Third Party,Pressurized Systems,"At 14: 55h on 27 September, a worker from Confipetrol carried out industrial cleaning of the outside of the acid reduction tank D2055, to check the progress of the helmet mask; moment that hose pipe was released that was secured with pressure clamp (for water and air), impacting lips",2016,9,27,Tuesday,39,3,: september worker confipetrol carried industrial cleaning outside acid reduction tank check progress helmet mask hose pipe released secured pressure clamp water air impacting lip
225,2016-09-29,Country_01,4,Mining,1,II,Male,Third Party,Others,"Being 05:30 am. Approximately Marco and Isidro TORRES they were performing the pipe standardization of the CX 771 / CX-983 Nv. 1940; in moments that Marco lifts the air pipe over the spike, this seat and the pipe impacts on the worker's safety guard.",2016,9,29,Thursday,39,3,marco isidro torres pipe standardization marco lift air pipe spike seat pipe impact worker safety guard
226,2016-09-30,Country_01,4,Mining,1,I,Male,Employee,Others,"Being at 11:00 a.m. approximately the mechanic was removing the last bolt of the 6 ""nipple in the pump 4115 (lime feeder), reactive area, the mechanic is positioned slightly flexing the legs and performs upward force with both hands, in that moment feels a pain and a spume in the right thigh. The mechanic is evacuated with the help of his colleagues to the medical post.",2016,9,30,Friday,39,3,mechanic removing last bolt nipple pump lime feeder reactive mechanic positioned slightly flexing leg performs upward force hand feel pain spume right thigh mechanic evacuated help colleague post
227,2016-10-01,Country_01,4,Mining,2,III,Male,Third Party,Others,"Being 10:50 a.m. approximately, in the maintenance workshop of the E.E Unicon, in circumstances that two mechanical technicians placed the protective plate (30 kg.) of the Mixkret 111 fuel tank, At the moment of attempting to bolt this protective plate it slips from the hands of one of them falling directly on the instep of the left foot, causing the injury described.",2016,10,1,Saturday,39,4,maintenance workshop ee unicon mechanical technician placed protective plate mixkret fuel tank attempting bolt protective plate slip hand falling directly instep left foot injury
228,2016-10-03,Country_01,4,Mining,1,II,Male,Third Party,Others,"Being 5:15 a.m. in the N. in the NV 1710 CX 018, the mixkret operator was washing the mixkret 116 with a hose with water under pressure, it is necessary to change the location; from the right side to the left and He proceeds to pull the hose then slips and feels that the left foot bends.",2016,10,3,Monday,40,4,n mixkret operator washing mixkret hose water pressure necessary change location right side left proceeds pull hose slip feel left foot bend
229,2016-10-03,Country_02,5,Metals,1,III,Male,Employee,Pressed,"After carrying out the supply operation of the zinc powder container using the crane to move it, the employee closed the lower lock of this same container and when making the movement to push the lock made an excessive effort with the thumb of the right hand, causing sprain.",2016,10,3,Monday,40,4,carrying supply operation zinc powder container using crane move closed lower lock container making movement push lock excessive effort thumb right hand sprain
230,2016-10-03,Country_02,8,Metals,1,II,Male,Employee,Pressed,During the withdrawal of cathode sample the employee came to press the finger with the tool that cuts the sample.,2016,10,3,Monday,40,4,withdrawal cathode sample press finger tool cut sample
231,2016-10-03,Country_01,3,Mining,1,IV,Male,Third Party,Others,"At the intersection of level 3970 - main road and access to the south ramp, the collaborator, after having freed the tube 2 inches in diameter from the gable, descended holding the pipe on the fourth step of a telescopic aluminum ladder (approximately at 1.20 meters from the floor) at which point another clamping point in the gable is lifted by lifting the tube which pulls the worker causing him to lose balance and fall from a height of 1.20 meters. The described injury occurring.",2016,10,3,Monday,40,4,intersection level main road access south ramp collaborator freed tube inch gable descended holding pipe fourth step telescopic aluminum ladder floor point another clamping point gable lifted lifting tube pull worker lose balance fall height injury occurring
232,2016-10-04,Country_03,10,Others,3,III,Male,Employee,Others,"In the probe 5068 bore BAPDD00146, around 15:00 hours, the polling assistant Luciano da Silva performing the maneuver of descending rods, led the rod to the gutter, but this when not leaning suitably came to escape the gutter returning toward the easel. His hand had slipped and his little finger was between the rod and the easel. Realizing that the shaft had returned, he released it. immediately, but his little finger was partially hit by the rim of the rod against the easel resulting in a cut. The auxiliary was taken to hospital and attended to, the wound resulted in 5 points and the was released for administrative activities.",2016,10,4,Tuesday,40,4,probe bore bapdd around hour polling assistant luciano silva maneuver descending rod led rod gutter leaning suitably escape gutter returning toward easel hand slipped little finger rod easel realizing shaft returned released little finger partially hit rim rod easel resulting cut auxiliary taken hospital attended wound resulted point released administrative
233,2016-10-08,Country_01,4,Mining,2,II,Male,Third Party,Others,"At the offices of Incimmet, in circumstances that an environment was being set up to place cleaning materials, a wooden strip was placed between the staircase structure and the container, this strip was not cut to size, so the accident victim He coordinated with his partner to put it under pressure using a hammer while holding with his right hand the frame, this pressure placed strip pushed to that side of the container creating an opening between the corrugated iron and the wall, at that time, continuing to hit the ribbon, This falls causing the wall of the container to return to its initial position, pressing the tip of the little finger of the right hand against the corrugated iron causing the accident.",2016,10,8,Saturday,40,4,office incimmet environment set place cleaning material wooden strip placed staircase structure container strip cut size accident victim coordinated partner put pressure using hammer holding right hand frame pressure placed strip pushed side container creating opening corrugated iron wall continuing hit ribbon fall wall container return initial position pressing tip little finger right hand corrugated iron accident
234,2016-10-10,Country_01,3,Mining,1,IV,Male,Third Party (Remote),Others,"In the area of ​​equipment inspection, while the staff of the Atenuz EE, trying to remove the hydraulic hammer safety locks of the excavator, the mechanical lubricator holds with his right hand a hat-type chisel while the equipment mechanic hit the chisel with a 2-pound rubber bump to remove the safety, at which point one of the blows falls on the edge of the hat-type protector, causing it to slip and strike the fourth finger of the lubricant mechanic's right hand generating the described injury. At the time of the accident, the lubricator mechanic had put on the gloves type pad.",2016,10,10,Monday,41,4,equipment inspection staff atenuz ee trying remove hydraulic hammer safety lock excavator mechanical lubricator hold right hand hattype chisel equipment mechanic hit chisel rubber bump remove safety point blow fall edge hattype protector slip strike fourth finger lubricant mechanic right hand injury accident lubricator mechanic put glove type pad
235,2016-10-10,Country_01,4,Mining,3,IV,Male,Employee,Others,"Being approx. 23:45 hrs. Mr. Eliseo secondary crushing operator, when retiring to his snack, finds the gate of the chute of strip 6 open, and when approaching to close the gate, in that At that moment, the operator Mr. Samuel who was on the upper platform, coordinates with the operator of the control room the start of strip 6-1, at that moment the start-up product projects a particle (10x6x5cm) impacting on the flange of the gate and projecting to towards the height of the lenses and respirator of Mr. Eliseo.",2016,10,10,Monday,41,4,hr eliseo secondary crushing operator retiring snack find gate chute strip open approaching close gate operator samuel upper platform coordinate operator control room start strip startup product project particle xxcm impacting flange gate projecting towards height lens respirator eliseo
236,2016-10-11,Country_02,5,Metals,1,III,Male,Employee,Chemical substances,Employee was doing cleaning near the area of ​​the pneumatic conveyor when he was hit by a drop of sulfuric acid on his upper lip.,2016,10,11,Tuesday,41,4,cleaning near pneumatic conveyor hit drop sulfuric acid upper lip
237,2016-10-13,Country_02,2,Mining,2,II,Male,Third Party (Remote),Others,"Employee assisted in the support of the gate, while the other the tying of the canvas in the frame, and by pressing the rope so that the canvas stretched, the metal structure moved, coming out of the wooden support, falling and striking against the employee's face, causing a cut in the right superciliary.",2016,10,13,Thursday,41,4,assisted gate tying canvas frame pressing rope canvas stretched metal structure moved coming wooden falling striking face cut right superciliary
238,2016-10-13,Country_01,3,Mining,3,IV,Male,Employee,Others,"In phase I, the operator carried out the removal of inchancanbles of the reciprocating feeder, while removing a split set with the support of a rope, the staff supports the left hand on the structure of the protection against falling, it is at this moment that another split set comes out together with the load and hits on the distal phalanx of the fifth finger of the left hand, generating the described injury.",2016,10,13,Thursday,41,4,phase operator carried removal inchancanbles reciprocating feeder removing split set rope staff support left hand structure protection falling another split set come together load hit distal phalanx fifth finger left hand injury
239,2016-10-18,Country_01,3,Mining,4,IV,Male,Third Party,Others,"In circumstances that the assistant of mine was arranging to advance the hose of flexible nylon of 1 ""of diameter, to proceed with the watered of shot fired, positioning itself under a zone with the support deteriorated by the last blasting, moment in which it gives off a block of rock (25cmx10cmx5cm; 3.5 Kg) of the roof of the work of a height of 5.2 meters which when falling hits by rebound in the left leg of the collaborator causing the described injury.",2016,10,18,Tuesday,42,4,assistant mine arranging advance hose flexible nylon proceed watered shot fired positioning zone deteriorated last blasting give block rock cmxcmxcm roof height falling hit rebound left leg collaborator injury
240,2016-10-18,Country_01,3,Mining,1,IV,Male,Third Party,Others,"Inside mine during the diamond drilling of a positive 15 ° drill, in moments when the control tube was rescued with the fisherman, the winch cable breaks untimely developing a whiplash effect and impacting on the left hand of the drilling assistant causing the described injury. At the time of the accident the drilling assistant was on the platform at 1.0m from the frame and was using his Hycron-type safety gloves.",2016,10,18,Tuesday,42,4,inside mine diamond drilling positive drill control tube rescued fisherman winch cable break untimely developing whiplash effect impacting left hand drilling assistant injury accident drilling assistant platform frame using hycrontype safety glove
241,2016-10-20,Country_02,5,Metals,1,III,Male,Employee,Pressurized Systems,"As the employee cleaned the thermal recovery boiler using an air boom, the hose loosened from the pipe connection, drawing a jet of compressed air toward his right ear, causing impact noise.",2016,10,20,Thursday,42,4,cleaned thermal recovery boiler using air boom hose loosened pipe connection drawing jet compressed air toward right ear impact noise
242,2016-10-23,Country_02,2,Mining,2,IV,Male,Employee,Others,"In the activity of loading of explosives in front of level 326 GTS, there was a fall of a Rock fragment reaching right arm of the Blaster causing a cut-blunt.",2016,10,23,Sunday,42,4,loading explosive front level gts fall rock fragment reaching right arm blaster cutblunt
243,2016-10-24,Country_01,1,Mining,1,IV,Male,Third Party,Others,"In circumstances that the mechanical technician and his work colleague arranged to accommodate the spare (Rollover) of the Small 02 on the platform of the cart on the floor, the two squat collaborators decide to push one on each side, at which time one edge of the Rollover imprisons the third finger of left hand against the handle of the cart on the right side, causing the wound on the third finger left hand. At the time of the accident both employees used their respective gloves.",2016,10,24,Monday,43,4,mechanical technician colleague arranged accommodate spare rollover small platform cart floor squat collaborator decide push side edge rollover imprisons third finger left hand handle cart right side wound third finger left hand accident used respective glove
244,2016-10-26,Country_01,1,Mining,3,IV,Male,Employee,Others,"Once the ore loading in the LT-30 locomotive was completed; the penultimate car derails (7th car), by the presence of fragment of rock in the railway line, (weight of the car with mineral 8 tons), and to get it back on track the mining car, the victim makes use of a metal tube (length 1.20 meters and 4 ""diameter) to maneuver and reposition the mining car; at that moment the metallic tube loses stability and imprisons the victim's hand against the strut of the mining car. The collaborator at the time of the event towards the use of his leather gloves.",2016,10,26,Wednesday,43,4,ore loading lt locomotive completed penultimate car derails th car presence fragment rock railway line weight car mineral ton get back track mining car victim make metal tube length maneuver reposition mining car metallic tube loses stability imprisons victim hand strut mining car collaborator towards leather glove
245,2016-10-27,Country_01,3,Mining,1,IV,Male,Employee,Others,"At a time when the heavy equipment operator got on the equipment to check the right front headlight (defective) of the scooptram # 181, position on the rim position # 2 his left leg which slides, causing the heavy equipment operator to fall from a height of 0.60 cm",2016,10,27,Thursday,43,4,heavy equipment operator got equipment check right front headlight defective scooptram position rim position left leg slide heavy equipment operator fall height
246,2016-10-29,Country_01,3,Mining,1,IV,Male,Employee,Others,"In the Alimak chimney of level 2440, the alimakero driller and his assistant are positioned in the main cage with guard heads and proceed to perform the rock untie at the top of the chimney, it is at this time that the teacher perceives a spark of rock in the top and communicates to the assistant so that this prevented, when falling the rock of 1.0x0.80x0.20 m on the guard heads is fragmented and one of the fragments fall on the chain and rebound rubs the operator's right hand generating the described injury.",2016,10,29,Saturday,43,4,alimak chimney level alimakero driller assistant positioned main cage guard head proceed perform rock untie top chimney teacher perceives spark rock top communicates assistant prevented falling rock xx guard head fragmented fragment fall chain rebound rub operator right hand injury
247,2016-10-29,Country_02,8,Metals,4,IV,Male,Employee,Pressed,"In the activity of placing boards on racks for the exchange of fabrics of the filters, one of the plates was inclined, trying to put the plate in the correct position, the plate arm pressed the back of the right hand against the structure of the easel",2016,10,29,Saturday,43,4,placing board rack exchange fabric filter plate inclined trying put plate correct position plate arm pressed back right hand structure easel
248,2016-11-04,Country_01,3,Mining,4,V,Male,Employee,Others,"When observing the pulp overflow of the overflow reception drawer of the thickener, the filter operator approaches to verify the operation of the C7-26 pump, making sure that it was stopped. So press the keypad to start the pump and not getting the start, proceeds to remove the guard and manipulates the motor - pump transmission strips, being left hand imprisoned between the pulley of motor and transmission belt",2016,11,4,Friday,44,4,observing pulp overflow overflow reception drawer thickener filter operator approach verify operation c pump making sure stopped press keypad start pump getting start proceeds remove guard manipulates motor pump transmission strip left hand imprisoned pulley motor transmission belt
249,2016-11-08,Country_01,4,Mining,1,IV,Male,Employee,Others,"Mr. Eriks after having completed the change of guide pole in the conveyor belt 7-1, the collaborator moved to the other side of the belt to remove the tecl, passes under the stairs without getting to observe that in that moment the collaborator Jhon dropped an inchancable of a weight approx. of 15 kg. From the entrance platform to the chute of discharge, at a height of 1.80 meters, the iron grazed him on the forearm, finally hitting his left foot at the height of the instep.",2016,11,8,Tuesday,45,4,eriks completed change guide pole conveyor belt collaborator moved side belt remove tecl pass stair without getting observe collaborator jhon dropped inchancable weight entrance platform chute discharge height iron grazed forearm finally hitting left foot height instep
250,2016-11-08,Country_02,8,Metals,1,II,Male,Employee,Others,"When igniting the furnace 07 of the battery I, there was reflux of hot gas, reaching the face of the employee.",2016,11,8,Tuesday,45,4,igniting furnace battery reflux hot gas reaching face
251,2016-11-11,Country_01,6,Metals,4,IV,Male,Employee,Others,"Approximately at 02:10 a.m. Mr. Wilmer approaches the C150 drying tower for the placement of a blanket, to cover the entrance manhole of the tower; at that moment the manhole cover resting on the railing slides, impacting on his right leg.",2016,11,11,Friday,45,4,wilmer approach c drying tower placement blanket cover entrance manhole tower manhole cover resting railing slide impacting right leg
252,2016-11-13,Country_01,6,Metals,1,II,Male,Employee,Plates,"Being the 01:30 hrs, After the cathode goes through the pre estriping, the sheets are detached and bend to the cathode of its position, the operator with the assistant lift the cathode by the head to position it in the tranfer at that moment the detached sheet exerts pressure on the cathode hitting the palm of the left hand of the operator with the head and the transfe, activity is paralyzed and the collaborator is referred to the medical post by the head of the guard.",2016,11,13,Sunday,45,4,hr cathode go pre estriping sheet detached bend cathode position operator assistant lift cathode head position tranfer detached sheet exerts pressure cathode hitting palm left hand operator head transfe paralyzed collaborator referred post head guard
253,2016-11-19,Country_01,4,Mining,3,IV,Male,Third Party,Others,"The workers: César (injured) and Nilton receive the order of their immediate supervisor Román to carry out the assembly activity of a brace (length 4.60 m, approximate weight 50 Kg) of the structure of the Nro belt. 2, said collaborators lift the brace and approach it to the installation point, leaving one end on the ground and the other resting on the corner of the pedestal (approximate height of 40 cm). After carrying out the planning of the work, the injured person lifts the end part that was on the floor to turn and position it for assembly, at that moment the other end falls generating the imprisonment of the fingers of the left hand. Staff is taken to the medical center by the supervisor.",2016,11,19,Saturday,46,4,worker : csar injured nilton receive order immediate supervisor romn carry assembly brace length approximate weight structure nro belt said collaborator lift brace approach installation point leaving end ground resting corner pedestal approximate height carrying planning injured person lift end part floor turn position assembly end fall imprisonment finger left hand staff taken supervisor
254,2016-11-21,Country_03,10,Others,1,I,Male,Third Party,Others,"In the region of Povoado Vista - Martinópole - CE, the employee Fábio de Vieira performed soil collection activities in the field, together with the auxiliaries Manoel da Silva and Diassis do Nascimento, when around 10:00 am, when crossing a fence his glove was attached to the wire and his body projected forward causing a slight twist of the left wrist. The team traveled to the city of Granja and the employee was referred to the hospital for consultation. The doctor did not diagnose a fracture, prescribing remedy for local pain and ice packs. By medical evaluation the employee can carry out his activities normally.",2016,11,21,Monday,47,4,region povoado vista martinpole ce fbio de vieira soil collection field together auxiliary manoel silva diassis nascimento around crossing fence glove attached wire body projected forward slight twist left wrist team traveled city granja referred hospital consultation doctor diagnose fracture prescribing remedy local pain ice pack evaluation carry normally
255,2016-11-23,Country_01,6,Metals,1,IV,Male,Employee,Others,"The operator when descending by ladder of sailor of 6 steps, falls to the floor going down of the 3er. step, falling on his back and hitting his head. The worker used the chin strap with the helmet, a safety element that reduced the injury from the blow. He was treated at the medical center with local treatment, referred to the Clinic for re-evaluation.",2016,11,23,Wednesday,47,4,operator descending ladder sailor step fall floor going er step falling back hitting head worker used chin strap helmet safety element reduced injury blow treated local treatment referred clinic reevaluation
256,2016-11-23,Country_01,4,Mining,1,II,Male,Employee,Others,"Being approx. 3:10 a.m. Mr. Denis made the mesh placed in a ventilation plug up a ladder, while trying to do a wire tie, suddenly had an imbalance due to the manipulation of tools falling from the third step, propiciándose a blow in the right knee and a wound of the wrist of the right hand. Later he was evacuated to the post where he received first aid.",2016,11,23,Wednesday,47,4,denis mesh placed ventilation plug ladder trying wire tie suddenly imbalance manipulation tool falling third step propicindose blow right knee wound wrist right hand later evacuated post received first aid
257,2016-11-25,Country_02,7,Mining,1,II,Male,Employee,Others,The employee reports that upon initiating 615 RLC front loading activity while performing the emulsion preparation for use there was a displacement of a small rock fragment from the ceiling reaching his left forearm,2016,11,25,Friday,47,4,report upon initiating rlc front loading emulsion preparation displacement small rock fragment ceiling reaching left forearm
258,2016-11-28,Country_01,3,Mining,1,I,Male,Third Party,Others,"in Level 2900 dining room, the collaborator finished washing tabolas (food containers) of dimensions 52 cm x 30 cm x 20 cm, proceed to order them by pinking the thumb of the right hand in the corner of the aluminum tabola, generating the lesion. The employee at the time of the accident did not have safety gloves.",2016,11,28,Monday,48,4,level dining room collaborator finished washing tabolas food container dimension proceed order pinking thumb right hand corner aluminum tabola lesion accident safety glove
259,2016-11-29,Country_02,8,Metals,2,III,Male,Employee,Others,"During the exchange of the shock-bearing housing, the employee used a sledgehammer to hit the pipe. At this stage of the activity the hammer hit the stepladder that was very close, coming to (hand tool) to be projected onto the left hand thumb, which was holding the piece.",2016,11,29,Tuesday,48,4,exchange shockbearing housing used sledgehammer hit pipe stage hammer hit stepladder close coming hand tool projected onto left hand thumb holding piece
260,2016-11-30,Country_01,3,Mining,1,II,Male,Third Party,Others,"After the welder completed the welding work to reinforce the forms in the deepening, he walked towards the distant truck at about 40 mt, at which point the welder stepped on a fragment of rock of 5 cm x 10cm x 5cm approx. which generates that the foot flexes and generates the injury in the worker.",2016,11,30,Wednesday,48,4,welder completed welding reinforce form deepening walked towards distant truck mt point welder stepped fragment rock generates foot flex generates injury worker
261,2016-12-01,Country_01,3,Mining,1,IV,Male,Employee,Others,"During the activity of chuteo of ore in hopper OP5; the operator of the locomotive parks his equipment under the hopper to fill the first car, it is at this moment that when it was blowing out to release the load, a mud flow suddenly appears with the presence of rock fragments; the personnel that was in the direction of the flow was covered with mud.",2016,12,1,Thursday,48,4,chuteo ore hopper op operator locomotive park equipment hopper fill first car blowing release load mud flow suddenly appears presence rock fragment personnel direction flow covered mud
262,2016-12-01,Country_01,3,Mining,1,IV,Male,Employee,Others,"During the activity of chuteo of ore in hopper OP5; the operator of the locomotive parks his equipment under the hopper to fill the first car, it is at this moment that when it was blowing out to release the load, a mud flow suddenly appears with the presence of rock fragments; the personnel that was in the direction of the flow was covered with mud.",2016,12,1,Thursday,48,4,chuteo ore hopper op operator locomotive park equipment hopper fill first car blowing release load mud flow suddenly appears presence rock fragment personnel direction flow covered mud
263,2016-12-01,Country_01,3,Mining,1,IV,Male,Third Party,Others,"During the activity of chuteo of ore in hopper OP5; the operator of the locomotive parks his equipment under the hopper to fill the first car, it is at this moment that when it was blowing out to release the load, a mud flow suddenly appears with the presence of rock fragments; the personnel that was in the direction of the flow was covered with mud.",2016,12,1,Thursday,48,4,chuteo ore hopper op operator locomotive park equipment hopper fill first car blowing release load mud flow suddenly appears presence rock fragment personnel direction flow covered mud
264,2016-12-08,Country_01,1,Mining,1,IV,Male,Employee,Suspended Loads,"At times when four mechanics performed the removal of a (1TM) engine on a positive slope using a key and a tyrfor, at the time that the 1st welder tightened the key (12 Kg of weight) when pulling the chain the eyebolt that held the Click on the roof of the work is broken transversely causing the fall of the key hitting the helmet of the welder mechanic causing cervical contracture. The tirfor was used during the activity as a second protection to prevent the engine from falling.",2016,12,8,Thursday,49,4,time four mechanic removal tm engine positive slope using key tyrfor st welder tightened key weight pulling chain eyebolt held click roof broken transversely fall key hitting helmet welder mechanic cervical contracture tirfor used second protection prevent engine falling
265,2016-12-08,Country_01,1,Mining,1,III,Male,Third Party (Remote),Others,"At times when four employees lowered a metal sheet (1.5mx1.8m; m 80Kg) towards the floor from a height of 20 cm., The assembly assistant does not timely remove the hand, trapping his ring finger between the iron and loose earth causing a contusion on his ring finger. The collaborator at the time of the event to use their maneuver gloves.",2016,12,8,Thursday,49,4,time four lowered metal sheet mxm towards floor height assembly assistant timely remove hand trapping ring finger iron loose earth contusion ring finger collaborator maneuver glove
266,2016-12-09,Country_02,2,Mining,2,III,Male,Third Party (Remote),Others,"During the withdrawal of the metal form support screw in the Inside of well 2, when the bolt of the chain holder was loosened, the employee and a helper exerted force on the combination wrench, when the bolt came to loosen immediately, pressing the ring finger of the employee's right hand against the support.",2016,12,9,Friday,49,4,withdrawal metal form screw inside well bolt chain holder loosened helper exerted force combination wrench bolt loosen pressing ring finger right hand
267,2016-12-10,Country_01,4,Mining,1,II,Male,Third Party,Others,"At 18:40 hours, in moments when Mr. Claudio tipper operator readjusted the nuts of the rear tire on the right side of his vehicle, using a wheel wrench and a tube as an extension to generate greater force of torque; which was Mr. Wilber held him in his back; suffers a contusion in the palm of the right hand as the extension to his partner slips from his hands.",2016,12,10,Saturday,49,4,hour claudio tipper operator readjusted nut rear tire right side vehicle using wheel wrench tube extension generate greater force torque wilber held back suffers contusion palm right hand extension partner slip hand
268,2016-12-12,Country_02,8,Metals,1,II,Male,Employee,Others,"When entering the caustic soda containment basin to place the hose to make the suction, at this stage there was steam formation, striking the employee in the right and left calf.",2016,12,12,Monday,50,4,entering caustic soda containment basin place hose make suction stage steam formation striking right left calf
269,2016-12-13,Country_02,2,Mining,1,II,Male,Third Party (Remote),Others,"During the activities of revegetation of the slopes of the pit pit II, the employee hitting the sledgehammer on the rods for installation of the lifeline, it hit his right leg, causing a slight excoriation.",2016,12,13,Tuesday,50,4,revegetation slope pit pit ii hitting sledgehammer rod installation lifeline hit right leg slight excoriation
270,2016-12-12,Country_01,4,Mining,3,III,Male,Employee,Others,"When performing the Doosan RB-10 equipment hammer repair, the employee tries to remove the suspenders with the support of a 25-pound rope; At the moment of receiving the blow the brace or bolt causes a splinter to be released, expelling and impacting on the lower left limb causing metal embedding in it. The collaborator did not notice immediately.",2016,12,12,Monday,50,4,doosan rb equipment hammer repair try remove suspender rope receiving blow brace bolt cause splinter released expelling impacting lower left limb metal embedding collaborator notice
271,2016-12-12,Country_02,5,Metals,1,II,Male,Third Party (Remote),Others,"Employee reports that he performed an activity in the area of ​​the Ustulación, under the coordination of Maintenance when he was hit by dust from the ustulado, causing irritation in the eye region.",2016,12,12,Monday,50,4,report ustulacin coordination maintenance hit dust ustulado irritation eye region
272,2016-12-13,Country_01,6,Metals,1,II,Male,Third Party,Others,"On December 13, the accessories coupling (gun - hose) of the high pressure pump (BAP) was made to clean the demister of the cooling tower G2172. carrying out the complete coupling, they turn on the BAP to start with the start test, at that moment the hose comes off the gun and hits Mr. Emerson who was holding the gun.",2016,12,13,Tuesday,50,4,december accessory coupling gun hose high pressure pump bap clean demister cooling tower g carrying complete coupling turn bap start start test hose come gun hit emerson holding gun
273,2016-12-15,Country_02,5,Metals,1,III,Male,Employee,Others,"Employee reports that when returning the anode to the easel the even bumped into the side of the easel coming to swing and hit his right shoulder, causing bruise.",2016,12,15,Thursday,50,4,report returning anode easel even bumped side easel coming swing hit right shoulder bruise
274,2016-12-15,Country_01,3,Mining,3,IV,Male,Third Party,Others,"happened?): During the maintenance of the Bolter equipment; the collaborator uses a carpenter's hammer to be able to remove a link in the chain of advance the drilling machine, in moments that hits on the side of the chain, the partner hits the structure of the beam diverting the path of the hammer causing it to strike his left hand.",2016,12,15,Thursday,50,4,happened : maintenance bolter equipment collaborator us carpenter hammer able remove link chain advance drilling machine hit side chain partner hit structure beam diverting path hammer strike left hand
275,2016-12-16,Country_02,8,Metals,1,II,Female,Third Party,Others,"The maid while walking in the electrolysis area, stumbled and fell next to the bathroom in room B.",2016,12,16,Friday,50,4,maid walking electrolysis stumbled fell next bathroom room b
276,2016-12-19,Country_01,4,Mining,1,III,Male,Employee,Others,"In circumstances that the operator performed the lifting of an 8-inch vitaulic pipe, this is imprisoned in the structure of the railing of the truck, instants that pushes the pipe with the right hand this returns to its initial position hitting the middle finger of the employee causing a bruise",2016,12,19,Monday,51,4,operator lifting inch vitaulic pipe imprisoned structure railing truck instant push pipe right hand return initial position hitting middle finger bruise
277,2016-12-23,Country_01,4,Mining,2,IV,Male,Third Party,Others,"When performing the movement of the bar to make room and place a calibrator. Mr. Chuquillanqui pushes the bar with both hands turning it, being at that moment imprisoned the middle finger of the left hand against the other bar that was ahead.",2016,12,23,Friday,51,4,movement bar make room place calibrator chuquillanqui push bar hand turning imprisoned middle finger left hand bar ahead
278,2016-12-22,Country_02,5,Metals,1,II,Male,Third Party,Others,"Employee reports that he performed soldering activity when he was hit in the eye region by dust that was found in the thermal insulation, causing irritation.",2016,12,22,Thursday,51,4,report soldering hit eye region dust found thermal insulation irritation
